Name,Position,Swim,SwimBike,Bike,BikeRun,Run,Final,Gender,Division
Alice Alberts,34,1:01:13,00:03:42,4:45:11,00:02:55,3:12:33,9:05:34,F,PRO

Ruso Yakimovic,35,00:53:19,00:03:26,4:49:59,00:03:21,3:15:38,9:05:43,M,35-39

Ruben Aragón Gutiérrez,36,00:53:15,00:03:22,4:50:40,00:05:51,3:12:42,9:05:49,M,35-39

Joanna Ryter,37,1:08:44,00:02:13,4:53:34,00:02:46,2:59:26,9:06:43,F,PRO

Aldo Zgraggen,38,1:00:50,00:03:01,4:31:45,00:03:25,3:27:55,9:06:57,M,40-44

Duncan Chedburn,39,1:00:06,00:03:11,4:41:34,00:05:47,3:18:49,9:09:27,M,35-39

Øystein Eriksen,40,1:02:57,00:04:20,4:33:23,00:03:33,3:26:03,9:10:17,M,40-44

Josh Eaton,41,1:05:09,00:02:36,4:34:35,00:04:14,3:23:46,9:10:20,M,PRO

Simon Shi,42,00:51:00,00:02:58,4:35:03,00:03:34,3:38:02,9:10:37,M,PRO

Thomas Rucheton,43,00:53:43,00:04:38,4:56:35,00:04:27,3:11:34,9:10:58,M,35-39

Sean Lewis,44,1:05:26,00:04:52,4:41:36,00:04:05,3:15:07,9:11:05,M,55-59

Petr Lukosz,45,00:59:22,00:06:10,4:48:57,00:04:18,3:12:43,9:11:29,M,40-44

Mitch Adshead,46,00:49:32,00:04:22,4:32:30,00:05:18,3:40:23,9:12:04,M,30-34

Yang Pan,47,1:04:17,00:03:20,4:52:37,00:05:18,3:08:14,9:13:46,M,PRO

Jen Annett,48,1:06:12,00:02:30,4:51:02,00:02:57,3:11:18,9:14:00,F,PRO

Jose Miguel Hernandez Espinosa,49,00:53:40,00:03:53,4:58:50,00:04:10,3:14:25,9:14:59,M,30-34

Emmanuel Lopez,50,1:14:31,00:04:39,4:45:46,00:03:55,3:06:10,9:15:00,M,35-39

Chris Standidge,51,00:50:13,00:03:04,4:36:40,00:03:45,3:42:02,9:15:44,M,40-44

Jaromir Szurlej,52,1:05:16,00:04:10,4:49:33,00:04:12,3:12:36,9:15:48,M,35-39

Balazs Csoke,53,00:52:35,00:03:11,4:39:53,00:03:58,3:36:58,9:16:35,M,PRO

Matt Meredith,54,1:08:42,00:04:48,4:41:55,00:04:34,3:19:08,9:19:06,M,35-39

Gabriel De Jesus,55,00:53:21,00:05:26,4:48:59,00:06:30,3:27:22,9:21:38,M,35-39

Mark Julier,56,00:59:32,00:03:48,4:45:13,00:04:58,3:29:20,9:22:52,M,45-49

Mario Bartolome Buil,57,00:53:13,00:05:35,5:05:20,00:05:29,3:13:17,9:22:54,M,35-39

Jodie Robertson,58,1:02:06,00:03:11,4:49:43,00:04:18,3:24:34,9:23:51,F,PRO

Christian Bosa,59,1:04:36,00:04:24,4:42:35,00:03:56,3:28:39,9:24:10,M,25-29

Philipp Strolz,60,1:03:04,00:02:59,4:40:12,00:04:04,3:34:03,9:24:22,M,45-49

Juan Delgado Valbuena,61,1:03:01,00:04:07,4:53:26,00:05:21,3:18:47,9:24:42,M,45-49

Jason Hollander,62,1:08:14,00:04:45,4:48:10,00:06:43,3:17:17,9:25:09,M,50-54

Marin Lerche,63,1:09:51,00:05:37,4:53:18,00:04:12,3:13:21,9:26:20,M,18-24

Nicolas Delgado,64,00:58:42,00:04:12,4:56:04,00:04:18,3:23:12,9:26:29,M,40-44

Christopher Burrows,65,1:07:33,00:05:12,5:02:37,00:05:49,3:05:35,9:26:46,M,25-29

Chris Depew,66,00:53:01,00:03:47,4:55:01,00:05:15,3:29:52,9:26:55,M,30-34

Marc Solkov,67,1:02:33,00:05:45,4:57:22,00:03:35,3:18:16,9:27:31,M,30-34

Amber Ferreira,68,1:04:36,00:04:21,4:57:01,00:04:02,3:17:44,9:27:43,F,PRO

Allison Jacob,69,1:08:47,00:04:17,5:03:35,00:03:59,3:07:49,9:28:27,F,30-34

Jessica Smith,70,1:01:10,00:02:53,5:05:06,00:03:07,3:16:15,9:28:31,F,PRO

Will Watson,71,1:02:53,00:03:22,4:43:07,00:03:34,3:35:59,9:28:55,M,18-24

William Martin,72,1:12:46,00:04:03,4:43:45,00:03:08,3:25:48,9:29:30,M,40-44

Katharina Grohmann,73,1:11:45,00:02:56,4:41:37,00:03:30,3:31:39,9:31:27,F,PRO

Charlie Ernst,74,00:52:29,00:04:11,5:07:43,00:04:29,3:22:39,9:31:31,M,40-44

Jason Frankel,75,1:09:13,00:05:06,4:58:26,00:05:49,3:13:09,9:31:42,M,30-34

Kevin Stumpf,76,1:03:30,00:04:22,4:54:09,00:06:07,3:23:47,9:31:54,M,35-39

Aurimas Sabulis,77,1:06:46,00:03:44,4:40:57,00:04:04,3:36:33,9:32:04,M,40-44

Laura Gray,78,00:59:38,00:03:17,5:11:09,00:04:53,3:14:23,9:33:21,F,25-29

Gavin Ketola,79,1:04:44,00:03:55,4:46:58,00:03:42,3:34:11,9:33:30,M,18-24

Patrick Schuster,80,1:05:45,00:03:20,4:51:50,00:03:15,3:29:51,9:34:01,M,50-54

Pedro Henrique Passarella,81,1:08:31,00:04:56,4:40:14,00:06:07,3:34:31,9:34:18,M,35-39

Thomas Pilliod,82,00:53:03,00:03:31,4:59:15,00:05:11,3:33:31,9:34:31,M,30-34

Lucas Caron,83,1:03:11,00:03:53,4:49:33,00:05:10,3:33:20,9:35:06,M,30-34

Tyler Blackburn,84,00:52:22,00:04:01,5:23:16,00:03:47,3:11:57,9:35:23,M,25-29

Jose Rivera Gonzalez,85,1:11:28,00:05:40,4:56:21,00:05:13,3:17:25,9:36:07,M,50-54

Andrew Aposhian,86,1:24:14,00:05:01,4:49:46,00:04:54,3:12:15,9:36:10,M,25-29

Ernest St-Pierre,87,1:01:55,00:04:40,4:31:05,00:04:09,3:54:36,9:36:25,M,40-44

Chad Carpenter,88,1:03:25,00:05:50,5:01:20,00:05:09,3:21:26,9:37:09,M,35-39

Lars Schmidt,89,00:53:18,00:04:45,4:26:00,00:04:05,4:09:30,9:37:37,M,PRO

Darwin Galviz,90,1:07:26,00:02:45,4:47:15,00:04:04,3:36:16,9:37:47,M,40-44

Jose Uriburu,91,1:07:51,00:04:37,4:58:10,00:04:00,3:23:56,9:38:35,M,40-44

Pierangela Dezerega,92,1:09:34,00:04:11,5:00:47,00:04:24,3:20:39,9:39:35,F,35-39

Jelle Bossaert,93,1:12:44,00:05:50,5:00:49,00:06:07,3:14:34,9:40:05,M,35-39

Griesbauer Dede,94,00:59:59,00:03:16,4:37:29,00:04:25,3:55:08,9:40:17,F,PRO

Meghan Fillnow,95,1:05:46,00:03:35,4:58:10,00:03:55,3:29:00,9:40:26,F,40-44

Ernesto Fernandez,96,1:02:13,00:03:51,5:08:28,00:05:13,3:21:47,9:41:32,M,35-39

Morten Siem Lynge,97,1:12:05,00:05:29,4:40:06,00:04:06,3:39:56,9:41:43,M,50-54

Glauco Antonio Sapia,98,1:06:03,00:05:30,4:55:52,00:07:06,3:27:24,9:41:56,M,45-49

Sera Sayar,99,00:59:23,00:04:16,5:02:54,00:05:14,3:30:25,9:42:13,F,30-34

Miguel Desentis,100,1:00:33,00:04:17,5:09:21,00:05:22,3:22:42,9:42:14,M,30-34

Todd Shellenberger,101,00:58:45,00:03:55,4:55:27,00:02:54,3:41:24,9:42:25,M,55-59

Alex Sharp,102,1:04:54,00:04:44,4:49:31,00:05:08,3:38:25,9:42:43,M,35-39

Miguel Garcia-Nieto Bondia,103,1:02:36,00:04:50,5:01:35,00:04:00,3:30:21,9:43:22,M,35-39

Anton Van Zyl,104,1:02:11,00:04:53,4:53:16,00:04:39,3:39:13,9:44:12,M,50-54

Kathryn Aurand,105,1:05:45,00:04:16,5:08:48,00:03:30,3:21:59,9:44:18,F,35-39

Scott Galloway,106,1:06:34,00:04:46,4:57:54,00:05:27,3:30:39,9:45:18,M,35-39

Katie Colville,107,1:05:55,00:05:28,5:14:08,00:03:35,3:16:27,9:45:32,F,PRO

Johan Lidstrom,108,1:13:59,00:03:21,5:01:39,00:05:02,3:21:41,9:45:42,M,35-39

Kiyan Sunderji,109,00:58:27,00:03:46,5:01:51,00:04:48,3:37:42,9:46:35,M,18-24

Matthew Decker,110,1:03:51,00:03:20,4:47:53,00:03:44,3:47:52,9:46:40,M,35-39

Elyse Gallegos,111,1:00:43,00:03:58,4:53:50,00:03:45,3:44:38,9:46:53,F,35-39

Tim Starets,112,1:06:26,00:04:24,4:59:44,00:03:42,3:33:10,9:47:26,M,50-54

Jana Richtrova,113,1:13:05,00:03:39,4:47:58,00:04:11,3:38:54,9:47:47,F,40-44

David Forsee,114,1:01:05,00:05:42,5:02:55,00:05:30,3:32:41,9:47:54,M,50-54

Matt Mccurdy,115,1:10:06,00:06:41,5:08:36,00:05:54,3:17:24,9:48:40,M,45-49

Nicholas Lam,116,00:59:21,00:05:00,4:55:10,00:04:28,3:44:48,9:48:47,M,25-29

Melissa Barrett,117,1:07:01,00:04:11,5:14:29,00:03:34,3:19:36,9:48:51,F,40-44

Holly Smith,118,1:11:29,00:04:14,5:00:53,00:03:59,3:29:07,9:49:42,F,PRO

Dimitri Flores,119,1:06:02,00:03:32,4:53:43,00:04:21,3:42:11,9:49:50,M,35-39

Massimo Leonardi,120,1:02:19,00:04:09,4:53:17,00:06:11,3:43:58,9:49:53,M,40-44

Magnus Nyberg,121,1:04:58,00:04:20,4:52:48,00:04:22,3:43:29,9:49:58,M,40-44

Johan Nyberg,122,1:05:36,00:04:43,5:02:03,00:05:20,3:33:03,9:50:46,M,40-44

Johannes Hemelrijk,123,1:02:36,00:04:44,4:40:20,00:05:06,3:58:01,9:50:47,M,40-44

Angela Naeth,124,1:06:39,00:03:34,4:49:26,00:03:41,3:47:35,9:50:56,F,PRO

Larissa Fabrini,125,1:10:32,00:03:45,4:56:41,00:03:53,3:36:16,9:51:08,F,35-39

Jordi Arrieta,126,1:08:48,00:03:11,5:08:52,00:04:10,3:27:11,9:52:12,M,25-29

Trevor Scott,127,1:05:36,00:04:27,4:39:42,00:03:49,3:59:06,9:52:41,M,30-34

Alonso Gonzalez Lopez,128,1:12:01,00:04:53,5:09:24,00:04:48,3:22:04,9:53:10,M,25-29

Andrew Castaldi,129,1:09:51,00:05:45,5:13:43,00:04:32,3:19:56,9:53:48,M,45-49

Jonathan Pesansky,130,00:57:22,00:06:14,5:07:31,00:05:23,3:37:20,9:53:50,M,45-49

Remy Espinoza,131,1:13:51,00:04:34,5:03:25,00:04:58,3:27:30,9:54:19,M,40-44

Wout Vandegaer,132,1:17:02,00:07:51,4:48:54,00:08:43,3:32:10,9:54:41,M,40-44

Nic Pillinger,133,1:18:03,00:06:47,4:43:10,00:05:14,3:41:35,9:54:49,M,45-49

Gabrielle Suver,134,1:11:32,00:03:33,5:10:37,00:05:22,3:24:01,9:55:05,F,PRO

Lars Vreugdenhil,135,1:04:43,00:03:16,4:58:53,00:03:38,3:44:59,9:55:29,M,50-54

Brenda Schaupp,136,1:00:56,00:03:09,5:15:19,00:05:20,3:30:52,9:55:36,F,40-44

Simon Schwendener,137,1:20:55,00:04:25,4:54:33,00:04:24,3:31:21,9:55:38,M,25-29

Gilbert Pinard,138,1:02:44,00:04:03,4:53:13,00:04:04,3:51:50,9:55:54,M,45-49

Adam Izer,139,1:07:24,00:05:34,5:17:11,00:04:02,3:21:48,9:55:59,M,30-34

Yann-Eric Gille,140,1:10:46,00:04:01,5:16:00,00:04:26,3:21:15,9:56:29,M,45-49

Zach Smith,141,1:06:23,00:02:52,4:50:41,00:03:44,3:52:51,9:56:31,M,30-34

Jamir Leal Cota,142,1:01:55,00:05:16,4:54:58,00:09:55,3:44:34,9:56:38,M,18-24

Nilton Leite,143,1:18:26,00:05:24,5:07:12,00:05:38,3:20:02,9:56:42,M,45-49

Luca Parmitano,144,1:12:59,00:04:34,5:02:56,00:05:24,3:30:59,9:56:53,M,45-49

Wesley Boer,145,1:10:00,00:05:37,5:13:07,00:04:54,3:24:40,9:58:19,M,40-44

Kayla Bowker,146,1:10:12,00:02:54,5:06:52,00:03:52,3:34:32,9:58:23,F,PRO

Xavier Gallardo Campos,147,1:00:14,00:05:49,5:09:12,00:05:47,3:37:31,9:58:33,M,35-39

Mike Roberts,148,1:00:32,00:03:27,5:04:49,00:04:50,3:45:18,9:58:56,M,55-59

Fabien Anne,149,1:06:26,00:03:44,5:02:35,00:03:54,3:42:52,9:59:31,M,35-39

Robert Gouley,150,00:53:53,00:04:45,5:18:32,00:04:46,3:37:36,9:59:32,M,40-44

John Wile,151,1:03:33,00:03:25,5:14:49,00:04:30,3:33:34,9:59:51,M,35-39

Benno Adelhardt,152,1:10:45,00:04:59,5:02:20,00:05:21,3:36:32,9:59:58,M,45-49

Alejandro Casanova Gonzalez,153,1:05:54,00:04:26,5:08:13,00:03:58,3:37:50,10:00:20,M,45-49

Beni Gras-Thompson,154,1:06:40,00:05:07,4:59:09,00:05:17,3:44:35,10:00:49,F,50-54

Rob Gray,155,1:01:59,00:09:54,4:59:37,00:20:49,3:28:32,10:00:52,M,45-49

Brittaney Talbot,156,1:07:54,00:03:30,5:23:16,00:04:48,3:22:35,10:02:04,F,35-39

Minto Jonathan,157,1:19:41,00:03:46,5:11:49,00:04:26,3:23:42,10:03:25,M,60-64

Carlos Vilchis,158,1:29:38,00:06:06,5:01:01,00:07:22,3:19:33,10:03:39,M,45-49

Mebarek Bessaa,159,1:08:16,00:05:40,5:13:01,00:04:32,3:32:30,10:04:00,M,55-59

Juri Plotnikow,160,1:29:13,00:05:55,5:00:49,00:05:33,3:22:42,10:04:12,M,40-44

Gunther Volz,161,1:19:53,00:04:30,4:51:26,00:04:38,3:45:42,10:06:08,M,60-64

Richard Ledain Santiago,162,1:04:38,00:04:26,4:39:27,00:04:07,4:13:36,10:06:14,M,40-44

Williana Rojas,163,1:24:18,00:05:24,5:07:32,00:06:38,3:22:32,10:06:25,F,40-44

Alex Pinero,164,1:06:19,00:04:45,5:19:01,00:07:14,3:30:01,10:07:20,M,18-24

Sarah Karpinski,165,1:11:41,00:04:27,5:19:16,00:04:42,3:27:15,10:07:21,F,PRO

Andreas Bund,166,1:06:18,00:05:24,5:13:41,00:04:06,3:38:06,10:07:36,M,55-59

Nicolas Guilbert,167,1:13:33,00:05:54,4:45:33,00:05:44,3:57:00,10:07:45,M,40-44

Luke Vucsko,168,1:11:03,00:03:05,4:56:10,00:03:43,3:55:17,10:09:17,M,35-39

Jonathan Pagalilauan,169,1:05:07,00:06:29,5:08:54,00:06:53,3:43:38,10:11:00,M,45-49

Jenny Nilsson,170,1:16:22,00:03:11,5:14:35,00:03:53,3:34:34,10:12:35,F,PRO

Logan Trimm,171,1:09:51,00:06:23,4:58:46,00:06:13,3:51:23,10:12:36,M,35-39

Jill Jacinth,172,1:06:28,00:03:39,5:11:35,00:05:12,3:46:05,10:12:58,F,30-34

Rafael Ramos Franco,173,1:08:56,00:03:54,5:09:48,00:03:24,3:47:06,10:13:08,M,35-39

Katie Solbo,174,1:09:16,00:04:20,5:07:49,00:03:55,3:48:21,10:13:40,F,30-34

Gustavo Gines,175,1:06:12,00:06:28,5:14:09,00:06:28,3:40:31,10:13:49,M,25-29

Collin Johnson,176,1:03:42,00:08:36,5:21:44,00:11:23,3:28:51,10:14:17,M,30-34

Marko Knezovic,177,1:17:43,00:05:09,4:45:22,00:04:13,4:01:52,10:14:19,M,45-49

Dana Bullard,178,1:13:32,00:04:31,5:19:37,00:04:10,3:32:48,10:14:37,F,45-49

Devin Sullivan,179,1:05:10,00:04:47,5:16:48,00:03:58,3:44:18,10:15:02,M,25-29

Angel Martin,180,1:04:17,00:04:14,5:11:04,00:04:35,3:50:52,10:15:02,F,40-44

Rodrigo Alonso Carrillo Rodríguez,181,1:21:07,00:06:14,5:04:36,00:06:54,3:36:35,10:15:26,M,40-44

Dan Contant,182,1:07:13,00:05:41,5:14:00,00:05:39,3:42:59,10:15:32,M,60-64

Matthew Antonucci,183,1:13:51,00:07:08,5:07:49,00:05:39,3:41:06,10:15:35,M,40-44

Charles Crowell,184,00:52:16,00:04:47,5:10:07,00:06:21,4:02:18,10:15:49,M,40-44

Mckenzie Doss,185,00:58:28,00:04:12,5:13:33,00:04:54,3:54:50,10:15:57,F,30-34

Nicola Liera,186,1:20:02,00:04:59,5:10:23,00:06:21,3:35:08,10:16:53,M,55-59

Darel Ribeiro,187,1:07:18,00:05:11,5:21:23,00:03:26,3:39:43,10:17:01,M,30-34

Anthony Park,188,1:09:59,00:05:57,5:05:24,00:05:04,3:51:22,10:17:45,M,55-59

Aaron Alanis-Stephens,189,1:06:15,00:06:10,5:12:01,00:08:35,3:44:45,10:17:46,M,30-34

Michael Peacock,190,1:12:39,00:07:12,5:11:23,00:06:36,3:39:58,10:17:47,M,35-39

David Taylor,191,1:18:43,00:07:14,5:04:26,00:06:22,3:41:14,10:17:58,M,45-49

Carrie Tysdahl,192,1:07:48,00:03:49,5:19:16,00:03:45,3:43:41,10:18:20,F,40-44

Tony Clarke,193,1:09:08,00:04:58,4:57:51,00:05:57,4:00:27,10:18:22,M,55-59

Nicholas Delmonico,194,1:04:16,00:04:16,5:20:20,00:04:19,3:45:19,10:18:32,M,25-29

Glenn Merkel,195,1:03:46,00:05:30,4:52:23,00:05:24,4:11:30,10:18:33,M,45-49

Anton Iurkovskyi,196,1:12:06,00:04:10,4:57:59,00:04:43,3:59:42,10:18:40,M,45-49

Mike Hammersley,197,1:09:07,00:04:10,5:01:07,00:04:39,4:00:18,10:19:21,M,45-49

Christian Brown-Johnson,198,1:25:04,00:06:51,5:29:01,00:06:05,3:12:24,10:19:24,M,25-29

Peter Schultz,199,1:08:24,00:05:56,5:10:03,00:06:09,3:48:57,10:19:29,M,45-49

Larry Peters,200,1:16:51,00:06:24,4:59:47,00:05:07,3:51:57,10:20:05,M,40-44

Kara Mosteller,201,1:14:43,00:06:34,5:17:05,00:05:32,3:36:30,10:20:26,F,30-34

Enrique Benavente,202,1:09:01,00:03:41,5:28:56,00:04:51,3:34:05,10:20:33,M,45-49

Jeff Crosby,203,1:10:13,00:04:03,4:51:05,00:05:29,4:10:18,10:21:08,M,60-64

Anthony Renda,204,1:10:18,00:06:11,5:05:21,00:05:42,3:53:49,10:21:22,M,50-54

Matt Mccutchen,205,1:02:40,00:05:24,5:10:10,00:05:26,3:58:03,10:21:43,M,50-54

Brian Mcmanus,206,1:10:07,00:04:20,5:00:28,00:06:29,4:00:35,10:21:58,M,40-44

Luke Friesen,207,1:14:19,00:09:54,4:52:07,00:08:28,3:57:30,10:22:19,M,30-34

Alanna Hollborn,208,1:14:22,00:05:09,5:31:10,00:04:32,3:28:18,10:23:32,F,35-39

Clarice Chastang,209,1:08:50,00:03:36,5:16:34,00:04:13,3:51:01,10:24:13,F,PRO

Rocio Rodriguez Vallejo,210,1:07:58,00:05:04,5:26:17,00:04:34,3:40:26,10:24:19,F,40-44

Jacob Bevilacqua,211,1:08:19,00:07:55,5:06:51,00:06:40,3:54:36,10:24:21,M,25-29

Vincent Joseph,212,1:09:39,00:04:07,5:15:07,00:04:50,3:50:44,10:24:26,M,35-39

Annette Rogers,213,00:59:37,00:03:58,5:41:38,00:04:07,3:35:10,10:24:29,F,35-39

Julia Slyer,214,1:06:44,00:04:23,5:14:19,00:04:42,3:54:35,10:24:43,F,25-29

Lisa Holt,215,1:07:31,00:03:56,5:26:03,00:03:36,3:44:22,10:25:28,F,35-39

Darren Gill,216,1:07:54,00:04:31,4:48:23,00:06:38,4:18:03,10:25:29,M,55-59

Marie-Cristine Kaptan,217,1:15:58,00:06:48,5:29:58,00:06:09,3:27:05,10:25:57,F,30-34

Rodrigo Valenzuela,218,1:15:47,00:05:15,5:17:00,00:04:54,3:43:05,10:26:01,M,50-54

Tobias König,219,1:00:02,00:03:59,5:02:20,00:04:31,4:16:31,10:27:23,M,40-44

Fernando Lopez,220,1:17:43,00:05:56,5:09:24,00:06:48,3:47:34,10:27:25,M,50-54

Andy Giles,221,1:06:07,00:04:38,5:13:05,00:05:42,3:58:27,10:27:58,M,50-54

Stefano Matalucci,222,1:08:48,00:04:57,5:11:56,00:07:02,3:55:31,10:28:13,M,50-54

Javier Barrera Gazcon,223,1:05:00,00:05:21,5:09:04,00:05:33,4:03:18,10:28:15,M,30-34

Raul De La Torre Garrote,224,1:06:32,00:06:29,5:26:28,00:04:28,3:44:42,10:28:38,M,40-44

Grzegorz Pindur,225,1:04:20,00:05:56,5:08:43,00:03:43,4:06:37,10:29:19,M,45-49

John Romais,226,1:03:58,00:03:57,5:31:28,00:03:47,3:46:30,10:29:40,M,40-44

Paula Bau,227,1:05:15,00:05:51,5:25:02,00:04:54,3:48:55,10:29:57,F,35-39

Sebastian Betancourt,228,1:12:55,00:05:25,5:18:18,00:05:31,3:48:01,10:30:10,M,30-34

Colin Cook,229,1:06:07,00:06:40,4:41:58,00:06:29,4:29:01,10:30:15,M,30-34

Meagan Perlstein,230,1:02:27,00:04:06,5:11:00,00:04:42,4:08:14,10:30:29,F,40-44

Ryuichi Nakayama,231,1:13:04,00:05:00,5:10:30,00:05:54,3:56:20,10:30:47,M,40-44

Arturo Diaz,232,1:15:18,00:07:02,5:11:15,00:07:03,3:50:24,10:31:03,M,50-54

Yuichi Fuchigami,233,1:05:36,00:05:39,5:19:39,00:06:11,3:54:13,10:31:17,M,35-39

Chris Bridge,234,1:03:12,00:04:23,5:10:32,00:06:03,4:07:23,10:31:33,M,50-54

Minh Dang,235,00:59:23,00:05:21,5:03:55,00:07:24,4:15:40,10:31:43,M,25-29

Aubrie Yarbrough,236,1:03:48,00:05:51,5:37:46,00:05:29,3:39:05,10:31:59,F,18-24

Derek Yorek,237,1:14:35,00:08:35,5:15:17,00:07:45,3:45:56,10:32:09,M,40-44

Rick Phelan,238,1:13:46,00:04:59,5:05:43,00:07:58,4:00:28,10:32:54,M,55-59

Ariel Aponte,239,1:21:39,00:04:17,5:03:26,00:04:22,3:59:26,10:33:10,M,45-49

Juan Pablo Leiva,240,1:15:41,00:05:09,5:32:25,00:05:31,3:34:47,10:33:34,M,25-29

Thorkell Brandson,241,1:10:17,00:05:02,5:24:46,00:04:06,3:49:46,10:33:57,M,65-69

Dietzel Olivia,242,1:08:42,00:04:33,5:26:49,00:07:46,3:46:19,10:34:08,F,PRO

Eric Elizondo,243,1:17:02,00:07:58,5:10:20,00:05:34,3:53:46,10:34:41,M,45-49

William Leiss,244,1:09:08,00:05:39,5:30:22,00:06:21,3:43:33,10:35:03,M,35-39

Dion Leman,245,1:08:02,00:06:40,5:18:17,00:05:05,3:57:03,10:35:07,M,55-59

Rebekah Ash,246,1:04:38,00:04:37,5:41:19,00:05:11,3:39:58,10:35:43,F,25-29

William Sandul,247,1:05:05,00:05:20,5:24:21,00:04:09,3:56:56,10:35:51,M,50-54

Josh Hanley,248,1:02:07,00:04:31,4:57:38,00:05:07,4:26:38,10:36:00,M,35-39

Bryce Devine,249,1:14:24,00:07:17,5:06:54,00:07:43,3:59:46,10:36:04,M,25-29

Stuart Rotticci,250,1:10:34,00:09:18,5:01:19,00:08:05,4:06:56,10:36:13,M,35-39

Gerardo Ramirez,251,1:25:35,00:05:03,5:24:07,00:05:42,3:36:09,10:36:36,M,35-39

Paul Aschmann,252,1:08:20,00:04:46,5:34:31,00:04:41,3:44:44,10:37:03,M,40-44

Mikkel Cornelius Nielsen,253,1:04:55,00:04:51,4:54:54,00:04:49,4:27:41,10:37:09,M,35-39

Cristian Montero,254,1:20:53,00:08:49,5:22:21,00:07:09,3:39:08,10:38:19,M,45-49

Lesley Brainard,255,00:59:47,00:05:12,5:29:05,00:05:47,3:58:35,10:38:26,F,50-54

Rosa Fernandes,256,1:13:44,00:05:19,5:25:50,00:05:11,3:48:52,10:38:57,F,45-49

